region,ISO,month 1  death rate,month 8  death rate,month 9  death rate,month 10  death rate,month 11  death rate,month 12  death rate,death rate 6mo agg
AFG.26.R4c10bf14a4a7fec7,AFG,-0.18707921727226492,-0.7787825799295974,-0.7497904098616706,-0.2138074138756682,-0.3143383261281841,-0.05852151363016349,-2.302319460697549
AFG.26.Ra91fd5c834036528,AFG,-0.10524119769464044,-0.21319907732820256,-0.10621324421242682,-0.22936346533800062,-0.33525040648984117,-0.1629962918957976,-1.1522636829589092
AFG.27,AFG,-0.4720867818167895,-1.4186016247467625,-0.6015862271603734,-1.1920038342154324,-0.7850031250845417,-0.5981211499266781,-5.067402742950578
AFG.28.R8ad94c036bcb94aa,AFG,-0.5886364333322518,-1.1470629398597554,-0.35094585184765675,-1.5051419275577653,-0.8222506988557546,-0.7906418416589738,-5.2046796931121575
AFG.28.R93cd63c39aa26547,AFG,-0.12945992057130828,-0.30043749269888015,-0.7853740550542536,-0.6794299732179722,-0.6104026190868073,-0.1588350905574702,-2.6639391511866917
AFG.29.299,AFG,-0.38276718289726674,-0.5238015650116188,-0.11793223229774209,-1.067066496971252,-0.8430750495151155,-0.6667997748799986,-3.6014423015729937
AFG.29.300,AFG,-0.08702035564145699,-0.6625813005381157,-0.060867869505025964,-0.11572724307936405,-0.05798054754627226,-0.16542869316271613,-1.1496060094729512
AFG.29.R5a453801396807f2,AFG,-0.46297610646491477,-0.5960789377083945,-0.13358405750027685,-1.2508816419493536,-0.9805005231945069,-0.7773512756487583,-4.2013725424662045
AFG.29.R74fcec17af54c808,AFG,-0.421457240668065,-0.6403267365145753,-0.14081883167672224,-1.1572264533231862,-0.8762321872152193,-0.7064244418620532,-3.9424858912598215
AFG.29.R9ff60d55ec253532,AFG,-0.6602029509444923,-4.465453666357783,-0.9011945329936103,-0.8832329109552385,-0.9147781738179478,-0.9347898566666356,-8.759652091735708
AFG.3.23,AFG,-0.7996183111692075,-3.78092594246904,-0.5017867614041985,-1.164605671089718,-0.825198662178714,-0.9619657591649526,-8.03410110747583
AFG.3.27,AFG,-0.1882278488708291,-0.5824239013430823,-0.43482717642430585,-0.5914018833646992,-0.527999751724013,-0.18698393341861771,-2.5118644951455473
AFG.3.32,AFG,-0.3484525772884239,0.28968656387560276,-0.2703988297661442,-1.007085164406925,-0.7586410791909802,-0.4495015849637396,-2.54439267174061
AFG.3.R269df99329225b2a,AFG,-0.15750620850643318,0.028531759292402387,0.07140143258704326,-0.30194481205160667,-0.44247615534443374,-0.2666817414147324,-1.0686757254377603
AFG.3.R928d90c14ac77c16,AFG,-0.3573737643344997,-0.43297273644568124,-0.19733333830072353,-0.8794902078325659,-0.755899658720778,-0.5195015687192288,-3.142571274353477
AFG.3.Rfb19c4c0f42445fa,AFG,-0.52060964691035,-2.150595326929055,-0.3585564200698068,-0.8401939682366486,-0.7258465818714327,-0.6646566241576851,-5.260458568174978
AFG.30.303,AFG,-0.0023339003365179137,-0.5024225954357596,-0.13642368728301713,-0.35353226989747777,-0.4814239428602692,0.08791899147113556,-1.388217404341906
AFG.30.R600c8571d9eda691,AFG,0.06850663928463926,-0.5098369605715857,-0.11930530380902858,-0.30819649299515395,-0.5396720322314076,0.07285786602612818,-1.3356462842964083
AFG.30.R922e0ff47dc73fe9,AFG,-0.20742439715068484,-0.1357442841912405,-0.20288679223796094,-0.8620597051148753,-0.9483432230545139,-0.2099088452844209,-2.5663672470336962
AFG.31.R2cddadc8171d5232,AFG,-0.062293919460914164,-1.0854198373679065,-0.40022085203508034,-0.24461477808606355,-0.32599755565075983,-0.11467004591702867,-2.233216988517753
AFG.31.R7533cfa7af80b230,AFG,-0.11214621457049845,-1.4223370515127545,-0.8279555214483011,-0.6300146825887853,-0.44550169233449977,-0.12972022357760965,-3.5676753860324486
AFG.32,AFG,-0.061511923836840565,-0.12431419488500492,-0.39924869245088673,-0.7076048938756072,-0.7389884664186213,-0.2074519774486242,-2.2391201489155845
AFG.4.43,AFG,-0.3650028155249976,-0.37103696384108004,-0.5674732057966523,-1.2819182228597925,-0.6208739600332579,-0.5361748897791891,-3.7424800578349693
AFG.4.R441976f1984e9d4c,AFG,-0.5253493789003154,-1.1722432878941758,-0.4974691480447357,-1.4594523353426514,-0.7539725686853164,-0.7660204033698942,-5.174507122237089
AFG.4.Rba8a6cb92a71a1fe,AFG,-0.7284269878508454,-1.6438470126011264,-0.5124131965444805,-1.9731777367428087,-0.7946971640011382,-0.9517480236460998,-6.604310121386499
AFG.5,AFG,-0.08968713029222641,-0.6199602480630191,-0.13390058272007918,-0.22879346998535618,-0.33359246317973873,-0.13029001320331512,-1.5362239074437347
AFG.6.R97eede2b941f822e,AFG,-0.9528216077715967,-1.4639967446793576,0.4986527073820104,-0.6277775226896958,-2.048505473501605,-1.2168039641285087,-5.811252605388754
AFG.6.Re2476cb25c1b5dba,AFG,-0.8148241746924185,-2.398908061599959,0.6240677188427298,-0.3711096503625068,-1.5702392568934451,-1.056336151556442,-5.587349576262041
AFG.7.68,AFG,-0.43764562671227764,0.14139036001828975,-1.031503058504659,-1.606328912481328,-1.018346040520129,-0.6640462431690878,-4.616479521369191
AFG.7.R1be1903632a37179,AFG,-0.785057864249896,-0.13933315965678605,-0.5377065741847831,-1.836152505300449,-1.1745272550635275,-1.1564876280154721,-5.629264986470914
AFG.7.Ra67230a12297e143,AFG,-0.21284337356479957,0.00038061012250741505,-1.1600383656375457,-1.2998239817931476,-0.74386494677882,-0.29200854823807254,-3.708198605889878
AFG.8.77,AFG,-0.23097376941773687,-1.8396684660824025,-1.40679094308191,-1.222159165021978,-0.6416019670676261,-0.18982795747233447,-5.531022268143988
AFG.8.80,AFG,-0.23323948674354375,-1.8586878482696416,-1.4202101525971327,-1.2334169595047348,-0.6476858891464345,-0.1908594436802305,-5.5840997799417185
AFG.8.R1033466054322fbc,AFG,-0.0007646762281209068,-0.8520793543023718,-0.5440308657160298,-0.38118180885482544,-0.4231183539435219,-0.16049847286804195,-2.3616735319129116
AFG.8.R8c0fc5f856580948,AFG,-0.18053831560727754,-1.675230617652591,-1.173000089490649,-0.935561754163369,-0.5340914794705779,-0.17329843738872625,-4.6717206937731905
AFG.9.R2de58211a39a05c4,AFG,-0.04491503377471666,0.3481011691973044,0.02606536789798211,-0.6474723750980598,-0.5519342775005533,0.05551572181660803,-0.8146394274614353
AFG.9.Reee7d1f78893e50f,AFG,-0.15734864229514423,-0.277372949894808,-0.49138093280587314,-0.6086563634813613,-0.5191556046154381,-0.0398001501250417,-2.0937146432176665
AGO.1.1,AGO,1.0468356798599097,-1.303390692762445,-1.4008730147591661,-0.2892322156803354,0.37661576593200485,0.6692370587932283,-0.9008074186168037
AGO.1.2,AGO,1.253231408863251,-1.046909317479331,-1.3465970726849927,-0.21021119902602695,0.43946460945737303,0.8721535576273158,-0.038868013242410626
