region,ISO,month 1  total deaths,month 8  total deaths,month 9  total deaths,month 10  total deaths,month 11  total deaths,month 12  total deaths,total deaths 6mo agg
AFG.16.R56f62a5b11d7a76e,AFG,-3.299725420794788,-18.06317983628863,-13.423299465796502,-5.985460512075893,-5.316839640806466,-1.1187108067217884,-47.20721568248407
AFG.16.R679857e5b8c74688,AFG,-1.6280499444925511,-5.130604446752203,-3.6576002575840394,-2.3474868916543454,-2.3446957509483735,-0.5689993362743938,-15.677436627705905
AFG.17,AFG,-4.95152021645965,0.0795816925065934,4.189364288697932,1.1052955118059495,-2.9223469793257197,-1.9897399926701491,-4.489365695445044
AFG.18.197,AFG,-2.4382545443504857,-11.311931865414003,-1.4996288089559944,-3.574676239544369,-2.494708925296139,-3.0310697391517833,-24.35027012271277
AFG.18.R02a221614471fb78,AFG,-5.0892775316959495,-18.110776974155616,-3.7224047678462133,-7.465140735365728,-5.807955398055915,-6.5932481377030605,-46.788803544822485
AFG.18.R3945a21254a36b53,AFG,-1.8176491349619597,-7.4989339377867745,-1.0677343625890083,-2.810342996695805,-2.0614625773154076,-2.304967536293129,-17.561090545642084
AFG.19.201,AFG,-0.2594605246667453,0.4416095553810905,0.42492138624197834,0.10651091931833082,-0.1455606193975788,-0.07944425187596912,0.4885764650011063
AFG.19.Rb70c80870c4e3972,AFG,-2.976529610248355,3.818823177962085,2.846385969710748,-0.1037589868863977,-1.516303274410837,-0.6153562465914184,1.453261029535825
AFG.19.Rcd8a19e4e02eef13,AFG,-2.8295228450489054,5.408051823833306,4.081466066635017,0.3051872078823235,-1.0853216613273846,-0.6081580693523135,5.271702522622044
AFG.2.16,AFG,-0.3208039420629967,0.600757054836974,-1.3060513465437755,-2.2558153573497823,-1.506286502057912,-0.46204482584949924,-5.250244919026992
AFG.2.20,AFG,-0.46434601658650043,0.8597398693738149,-1.03300052554361,-3.5274162836997185,-2.476789162775139,-1.1303678701721804,-7.772179989403333
AFG.2.Re52952e4e6b141e6,AFG,-3.466770485388298,-5.266925038289332,-3.2732908060822443,-9.865361756029069,-7.121866635125945,-6.2312739923855895,-35.22548871330048
AFG.20.204,AFG,-0.45020186467893564,-3.7395574637111513,-2.8678071364265016,-2.360143916174543,-1.244164292598826,-0.3610788339932644,-11.022953507583223
AFG.20.R3c3b3822ad703202,AFG,-1.0297025475822945,-9.681665496027424,-7.653871815112962,-3.100989399799132,-2.1180946911484675,-0.36481555156987017,-23.94913950124015
AFG.21.212,AFG,-0.5662884371113914,1.1745187037158442,0.8774846867760434,0.08374570833599311,-0.18767114641789226,-0.12329222588498645,1.2584972894136106
AFG.21.217,AFG,-2.336205133039016,4.776602190988386,3.5477640496420033,0.33999748436672955,-0.7554588436747701,-0.5089909550315534,5.063708793251779
AFG.21.R335bc53b76ceae53,AFG,-12.35184652975237,24.275229947763297,18.57823186820555,1.6379681643050121,-4.251899941646912,-2.7487520555129965,25.138931453361586
AFG.21.R452a3f16b7c93204,AFG,-7.24755399427072,11.538283598730692,8.914572743597892,-0.14238515924038803,-3.5459856106673593,-1.6378213096279621,7.879110268522152
AFG.21.Ra6cf658876a55bf9,AFG,-0.6663352401820686,0.8935680225165634,0.8917929699330975,0.023494717063806396,-0.31755875488213137,-0.17092786367576374,0.6540338507735037
AFG.22.231,AFG,-0.42760181153392857,-2.1299703800933663,0.810322496928337,0.20329079373419473,-0.5880134380960315,-0.5861561207804211,-2.718128459841216
AFG.22.233,AFG,-1.143216874160241,-5.812911624585337,2.197977505368274,0.9053286227455578,-1.9025861044142436,-1.7173783960099644,-7.472786871055954
AFG.22.R8dc821211617773c,AFG,-1.7031709821663927,-5.8333522174932995,2.414059443379779,0.5550886899038506,-3.06258688352758,-2.576426556683625,-10.206388506587267
AFG.23,AFG,-0.32256706267155183,-2.3869264044090195,-1.1013681908636956,1.6153663764111512,0.30918921520577647,-0.3299107193820345,-2.216216785709374
AFG.24.252,AFG,-0.03290000570169688,0.1510801488130796,0.005954964221980331,-0.06385383408499108,-0.061793154741174805,-0.028978291587803337,-0.03049017308060617
AFG.24.R6806f602c75dfaa2,AFG,-0.1860509554483266,-0.47689156516082876,-0.8545284681153607,-0.8025638949318844,-0.4426461851080516,-0.2665886609765222,-3.0292697297409736
AFG.24.Rd61b76c20460e178,AFG,-1.5343087880471218,-12.347476301438887,-12.534119258176887,-7.812513569234533,-4.182783953354931,-1.3447364703274345,-39.75593834057979
AFG.25.255,AFG,-0.1406056852479637,-0.7085310296714775,-0.6528856187281228,-0.20278937325656252,-0.17346471872901928,-0.011188118104344927,-1.8894645437374906
AFG.25.Rf77ed53d6994d2ee,AFG,-1.8682265053218334,-30.70591892549244,-24.178545121493197,-7.304085037000396,-4.449675311885352,-0.5369926789527444,-69.04344358014596
AFG.26.273,AFG,-0.1539875811621168,-0.7813764213991853,-0.7247957318799765,-0.22630561319915107,-0.19409977078328483,-0.014681072481223212,-2.0952461909049376
AFG.26.R4c10bf14a4a7fec7,AFG,-1.2744944948965766,-5.305528456413818,-5.1080166125786866,-1.4565828098159972,-2.1414589606836505,-0.3986832318531184,-15.684764566241846
AFG.26.Ra91fd5c834036528,AFG,-0.6185167133385825,-1.2529997328467664,-0.6242295618291323,-1.3480000213645686,-1.97031185609626,-0.9579511917213688,-6.772009077196679
AFG.27,AFG,-2.9901874073553607,-8.985391834202726,-3.8104340773334378,-7.550126357855866,-4.972192719162725,-3.7884863535064004,-32.09681874941652
AFG.28.R8ad94c036bcb94aa,AFG,-3.852465451966848,-7.507215144712165,-2.2968452056229456,-9.850744785534113,-5.38140731837679,-5.174535939999129,-34.063213846211994
AFG.28.R93cd63c39aa26547,AFG,-0.2653859066474927,-0.6158807763741393,-1.6099747685476629,-1.392795072407104,-1.2512926917572833,-0.3256034325450757,-5.4609326482787575
AFG.29.299,AFG,-1.704117982078433,-2.3320172309983542,-0.5250461552216534,-4.750687328516889,-3.7534548841037334,-2.96865963852454,-16.033983219443602
AFG.29.300,AFG,-0.060724551505859925,-0.462362535923472,-0.042474821546799484,-0.08075679398460282,-0.04045999030753467,-0.11543946384104045,-0.8022181571093092
AFG.29.R5a453801396807f2,AFG,-0.8552588475445307,-1.10114059492762,-0.24677071985499338,-2.310761995207387,-1.8112851522450921,-1.4360061931165995,-7.7612235028962235
AFG.29.R74fcec17af54c808,AFG,-0.5825096550865111,-0.8850162494266988,-0.19463025226394798,-1.599440031244322,-1.2110687868153929,-0.9763720213264478,-5.44903699616332
AFG.29.R9ff60d55ec253532,AFG,-6.05540264029238,-40.957284245219405,-8.265785160002082,-8.10104058659554,-8.390374749301559,-8.57392254621049,-80.34380992762146
AFG.3.23,AFG,-0.17611774559140325,-0.832757509344718,-0.11051967163795734,-0.2565070389588433,-0.18175187588619807,-0.21187513901792504,-1.7695289804370449
AFG.3.27,AFG,-0.20618016798472114,-0.6379728533137563,-0.47629902172982547,-0.6478071145693852,-0.5783579749724231,-0.2048176135145177,-2.751434746084629
AFG.3.32,AFG,-0.1573558828887792,0.13081804523985816,-0.12210799794063648,-0.45478433944333363,-0.3425907701436847,-0.20298807749476977,-1.1490090226713456
AFG.3.R269df99329225b2a,AFG,-0.5251673888902805,0.09513243744563214,0.23807127522361354,-1.006763924024189,-1.4753326192786573,-0.8891875128704385,-3.56324773239432
AFG.3.R928d90c14ac77c16,AFG,-1.4791952488630031,-1.7921047333463644,-0.8167766232092362,-3.640272081164294,-3.1287220702367624,-2.1502536809252204,-13.007324437744881
AFG.3.Rfb19c4c0f42445fa,AFG,-3.2970694368141893,-13.619920732268392,-2.270771240989402,-5.321026742606087,-4.596854082722092,-4.209332375017946,-33.314974610418105
AFG.30.303,AFG,-0.009379342039418941,-2.0191065133292185,-0.5482515278331034,-1.420754789507333,-1.9347183576780236,0.3533236959033293,-5.578886834483768
AFG.30.R600c8571d9eda691,AFG,0.3964520247533713,-2.9504570275720865,-0.6904269389479593,-1.7835515644279123,-3.1231143742425775,0.42163283452360184,-7.729465045913561
