ISO,gdppc,gdp_quartile,age_weighted_impact,age_weighted_impact_rate,pop,age0to4_impact,age0to4_impact_rate,pop0to4,age5to64_impact,age5to64_impact_rate,pop5to64,age65plus_impact,age65plus_impact_rate,pop65plus
HUN,24135.07165136439,mid-high,-6.464820312678024e+35,-6.764705667875952e+33,9556691.200000001,-3.028900813100159e+39,-6.722007370229017e+38,450594.6879074851,-8.629869962292016e+39,-1.2157189015056551e+38,7098573.487344823,-5.298943235138806e+40,-2.6396110635584497e+39,2007471.217367653
IDN,8003.410047118672,mid-low,2861.8093386732903,1.012418585800915,282670565.19999975,66810491.6143768,307362.62540933926,21736699.940469325,100756897.21153791,41975.938109917995,240034890.81696367,118613545.04141429,567558.8793462563,20898896.900007896
IMN,79376.23661081128,high,-0.8630667181020917,-2.5083941949973987,34407.140625,418.49969206699745,13931.533508002758,3003.974342283257,-7434.083603363901,-26694.180232052713,27849.07998200115,-79291.08789891227,-2231191.0208533793,3553.756140009261
IND,4626.917903568374,mid-low,-72736.00977725195,-4.993106018928228,1456728727.5999951,-638919340.777804,-578547.9103672035,110434992.38849255,-1855851010.5168517,-149852.62607146805,1238450776.0523028,-4778830626.43054,-4431468.837418272,107838524.91704844
IRL,66154.59302795872,high,-181.65534977416195,-3.52503150360049,5153297.2,-75338.97102374831,-27385.477533906706,275105.558887805,84720.10587695424,2092.2784306583217,4049179.3365330263,-18174916.112269398,-2192474.842127038,828968.0576054833
IRN,11434.008011956663,mid-low,-820.0117821644997,-0.8974012030349361,91376274.00000001,-2610056.0999705377,-44314.41956409931,5889857.354884632,-25741078.39655966,-33103.21760425127,77760049.50423267,-53650043.71991977,-694378.1424349399,7726343.967537334
IRQ,8646.433518904367,mid-low,3950.735560426558,8.224437648497744,48036543.4,61146177.81504848,1029897.8449808051,5937110.958435698,160084941.55718037,395728.92394203926,40453181.931333214,173842436.67042696,10559914.868948463,1646248.4672259283
ISL,43567.53115287687,high,7.645683866810591,2.0191731312660974,378654.2,-388.6235682656923,-1745.6855302311599,22261.94589664907,155991.485206938,53110.85033420875,293709.2594551508,608965.5250423864,971531.5419740744,62680.98345062653
ISR,29699.379253680072,high,8.171748681533302,0.08595705555183737,9506780.600000003,-1263093.5673787682,-145582.493470817,867613.6376465923,781884.9817731925,10500.191210405765,7446388.033375421,1298383.4537589054,108871.61721096557,1192582.1320748525
ITA,33154.59948904394,high,-254.16523538639558,-0.4323965116459604,58780593.39999999,-6896768.182826902,-345515.8459195975,1996078.6934304019,20339487.888619278,48355.95189569591,42062015.30783983,-38859243.24443194,-263960.61346145463,14721606.657466887
JAM,6730.6162869141035,mid-low,-37.73705611636804,-1.329262906598718,2838946.0,275255.8051049396,166033.084525331,165783.70864569762,-1094547.2403089674,-44912.43838894272,2437069.2831909144,-2954414.1764327763,-1251377.2429839275,236093.00816338425
JEY,46801.327328558174,high,-0.984496414406781,-1.6636686835378565,59176.23046875,-6392.734730770835,-123734.7684654535,5166.482153765595,12654.040379716116,26419.19916495681,47897.13836784576,-104710.94708962338,-1713190.865049175,6112.042109599842
JOR,6456.650413576228,mid-low,107.39840700089019,0.8870390033769942,12107518.000000002,910609.8614381202,75458.99970470523,1206761.108683686,4628551.158058442,44600.0276204181,10377910.967793819,5200679.680592454,994690.7301404593,522843.88735160645
JPN,31386.10311344169,high,-1277.7886884406096,-1.0486762348164955,121847777.79999998,-12989796.78453529,-309384.28666466195,4198596.161612688,25818733.06392899,32044.700242552768,80570992.60876781,-140607805.1234547,-379348.69740130904,37065582.69124809
KAZ,19945.51649805041,mid-high,-641.2509475723501,-3.212734727424926,19959660.599999994,-8807046.588829925,-433140.4934952958,2033300.2157706541,-12116831.679803085,-74787.57321447151,16201664.473127278,-43201216.488602005,-2504870.1659117667,1724688.8512034663
KEN,3040.760394374119,low,-2232.472393365374,-3.85188058255319,57957985.599999994,-25064253.49647184,-338900.06705290946,7395765.2810256835,-96812843.35902876,-198079.61031251698,48875723.85985807,-101370142.48103678,-6011973.707107905,1686137.4886118968
